,Data,Page Title,Type Of Data
656,,Notes[edit],
657,"In order to do arithmetic in Java, one must first declare at least one variable. Typically one declares a variable and assigns it a value before any arithmetic is done. Here's an example of declaring an integer variable:
",Arithmetic expressions,plain_text
658,"1 int x = 5;
",Arithmetic expressions,code_fragment
659,"After creating a variable, one can manipulate its value by using Java's operators: + (addition), - (subtraction), * (multiplication), / (integer division), % (modulo or remainder), ++ (pre- & postincrement by one), -- (pre- & postdecrement by one).
",Arithmetic expressions,plain_text
660," 1 public class Operators {
 2   public static void main(String[] args) {
 3     int x = 5;
 4     System.out.println(""x = "" + x);
 5     System.out.println();
 6    
 7     System.out.println(""--- Addition             ---"");
 8     x = 5;
 9     System.out.println(""x + 2 = "" + (x + 2));
10     System.out.println(""x = "" + x);
11     System.out.println();
12    
13     System.out.println(""--- Subtraction          ---"");
14     x = 5;
15     System.out.println(""x - 4 = "" + (x - 4));
16     System.out.println(""x = "" + x);
17     System.out.println();
18    
19     System.out.println(""--- Multiplication       ---"");
20     x = 5;
21     System.out.println(""x * 3 = "" + (x * 3));
22     System.out.println(""x = "" + x);
23     System.out.println();
24    
25     System.out.println(""--- (Integer) Division   ---"");
26     x = 5;
27     System.out.println(""x / 2 = "" + (x / 2));
28     System.out.println(""x = "" + x);
29     System.out.println();
30    
31     System.out.println(""--- Modulo (Remainder)   ---"");
32     x = 5;
33     System.out.println(""x % 2 = "" + (x % 2));
34     System.out.println(""x = "" + x);
35     System.out.println();
36    
37     System.out.println(""--- Preincrement by one  ---"");
38     x = 5;
39     System.out.println(""++x   = "" + (++x  ));
40     System.out.println(""x = "" + x);
41     System.out.println();
42    
43     System.out.println(""--- Predecrement by one  ---"");
44     x = 5;
45     System.out.println(""--x   = "" + (--x  ));
46     System.out.println(""x = "" + x);
47     System.out.println();
48    
49     System.out.println(""--- Postincrement by one ---"");
50     x = 5;
51     System.out.println(""x++   = "" + (x++  ));
52     System.out.println(""x = "" + x);
53     System.out.println();
54    
55     System.out.println(""--- Postdecrement by one ---"");
56     x = 5;
57     System.out.println(""x--   = "" + (x--  ));
58     System.out.println(""x = "" + x);
59     System.out.println();
60   }
61 }
",Arithmetic expressions,code_fragment
661,"The division operator rounds towards zero: 5/2 is 2, and -5/2 is -2.
The remainder operator has the same sign as the left operand; it is defined such that ((a/b)*b) + (a%b) is always equal to a.
The preincrement, predecrement, postincrement, and postdecrement operators are special: they also change the value of the variable, by adding or subtracting one. The only difference is that preincrement/decrement returns the new value of the variable; postincrement returns the original value of the variable.
",Arithmetic expressions,plain_text
662," 1 public class Question8 {
 2   public static void main(String[] args) {
 3     int x = 10;
 4     x = x + 10;
 5     x = 2 * x;
 6     x = x - 19;
 7     x = x / 3;
 8     System.out.println(x);
 9   }
10 }
",Arithmetic expressions,code_fragment
663,"When using several operators in the same expression, one must consider Java's order of precedence. Java uses the standard PEMDAS (Parenthesis, Exponents, Multiplication and Division, Addition and Subtraction) order. When there are multiple instances of the same precedence, Java reads from left to right. Consider what the output of the following code would be:
",Arithmetic expressions,plain_text
664,"1 System.out.println(10*5 + 100/10 - 5 + 7%2);
",Arithmetic expressions,code_fragment
665,"The following chart shows how Java would compute this expression:
",Arithmetic expressions,plain_text
666,"
",Arithmetic expressions,plain_text
667,"
Besides performing mathematical functions, there are also operators to assign numbers to variables (each example again uses the variable initialized as x = 5):
",Arithmetic expressions,plain_text
668," 1 public class Assignments {
 2   public static void main(String[] args) {
 3     int x = 5;
 4     x = 3;
 5     System.out.println(""Assignment                                       (x = 3) : "" + x);
 6 
 7     x = 5;
 8     x += 5;
 9     System.out.println(""Assign x plus another integer to itself          (x += 5): "" + x);
10 
11     x = 5;
12     x -= 4;
13     System.out.println(""Assign x minus another integer to itself         (x -= 4): "" + x);
14 
15     x = 5;
16     x *= 6;
17     System.out.println(""Assign x multiplied by another integer to itself (x *= 6): "" + x);
18 
19     x = 5;
20     x /= 5;
21     System.out.println(""Assign x divided by another integer to itself    (x /= 5): "" + x);
22   }
23 }
",Arithmetic expressions,code_fragment
669,,Using bitwise operators within Java[edit],
670,"Java has besides arithmetic operators a set of bit operators to manipulate the bits in a number, and a set of logical operators. The bitwise logical operators are
",Using bitwise operators within Java[edit],plain_text
671,"Besides these logical bitwise functions, there are also operators to assign numbers to variables (x = -5):
",Using bitwise operators within Java[edit],plain_text
672,"The shift operators are used to shift the bits to the left or right, which is also a quick way to multiply/divide by two:
",Using bitwise operators within Java[edit],plain_text
673,"
",Using bitwise operators within Java[edit],plain_text
674,"Java Literals are syntactic representations of boolean, character, numeric, or string data. Literals provide a means of expressing specific values in your program. For example, in the following statement, an integer variable named count is declared and assigned an integer value. The literal 0 represents, naturally enough, the value zero.
",Literals,plain_text
675,"1 int count = 0;
",Literals,code_fragment
676,"The code section 3.62 contains two number literals followed by two boolean literals at line 1, one string literal followed by one number literal at line 2, and one string literal followed by one real number literal at line 3:
",Literals,plain_text
677,"1 (2 > 3) ? true : false;
2 ""text"".substring(2);
3 System.out.println(""Display a hard coded float: "" + 37.19f);
",Literals,code_fragment
678,,Boolean Literals[edit],
679,"There are two boolean literals
",Boolean Literals[edit],plain_text
680,"true represents a true boolean value
false represents a false boolean value",Boolean Literals[edit],plain_text
681,"There are no other boolean literals, because there are no other boolean values!
",Boolean Literals[edit],plain_text
682,,Numeric Literals[edit],
683,"There are three types of numeric literals in Java.
",Numeric Literals[edit],plain_text
684,"In Java, you may enter integer numbers in several formats:
",Numeric Literals[edit],plain_text
685,"By default, the integer literal primitive type is int. If you want a long, add a letter el suffix (either the character l or the character L) to the integer literal. This suffix denotes a long integer rather than a standard integer. For example, 3405691582L is a long integer literal. Long integers are 8 bytes in length as opposed to the standard 4 bytes for int. It is best practice to use the suffix L instead of l to avoid confusion with the digit 1 (one) which looks like l in many fonts: 200l ≠ 2001. If you want a short integer literal, you have to cast it.
",Numeric Literals[edit],plain_text
686,"Starting in J2SE 7.0, you may insert underscores between digits in a numeric literal. They are ignored but may help readability by allowing the programmer to group digits.
",Numeric Literals[edit],plain_text
687,"Floating point numbers are expressed as decimal fractions or as exponential notation:
",Numeric Literals[edit],plain_text
688,"1 double decimalNumber = 5.0;
2 decimalNumber = 89d;
3 decimalNumber = 0.5;
4 decimalNumber = 10f;
5 decimalNumber = 3.14159e0;
6 decimalNumber = 2.718281828459045D;
7 decimalNumber = 1.0e-6D;
",Numeric Literals[edit],code_fragment
689,"Floating point numbers consist of:
",Numeric Literals[edit],plain_text
690,"Here, integer digits represents one or more of the digits 0 through 9.
",Numeric Literals[edit],plain_text
691,"Starting in J2SE 7.0, you may insert underscores between digits in a numeric literal. They are ignored but may help readability by allowing the programmer to group digits.
",Numeric Literals[edit],plain_text
692,"Character literals are constant valued character expressions embedded in a Java program. Java characters are sixteen bit Unicode characters, ranging from 0 to 65535. Character literals are expressed in Java as a single quote, the character, and a closing single quote ('a', '7', '$', 'π'). Character literals have the type char, an unsigned integer primitive type. Character literals may be safely promoted to larger integer types such as int and long. Character literals used where a short or byte is called for must be cast to short or byte since truncation may occur.
",Numeric Literals[edit],plain_text
693,,String Literals[edit],
694,"String literals consist of the double quote character ("") (ASCII 34, hex 0x22), zero or more characters (including Unicode characters), followed by a terminating double quote character (""), such as: ""Ceci est une string.""
",String Literals[edit],plain_text
695,"So a string literal follows the following grammar:
",String Literals[edit],plain_text
696,"<STRING :
        ""\""""
        (    (~[""\"""",""\\"",""\n"",""\r""])
        |(""\\""
            ( [""n"",""t"",""b"",""r"",""f"",""\\"",""'"",""\""""]
            |[""0""-""7""]([""0""-""7""])?
            |[""0""-""3""][""0""-""7""][""0""-""7""]
            )
        )
        )*
        ""\"""">
",String Literals[edit],plain_text
697,"Within string and character literals, the backslash character can be used to escape special characters, such as unicode escape sequences, or the following special characters:
",String Literals[edit],plain_text
698,"String literals may not contain unescaped newline or linefeed characters. However, the Java compiler will evaluate compile time expressions, so the following String expression results in a string with three lines of text:
",String Literals[edit],plain_text
699,"1 String text = ""This is a String literal\n""
2             + ""which spans not one and not two\n""
3             + ""but three lines of text.\n"";
",String Literals[edit],code_fragment
700,,null[edit],
701,"null is a special Java literal which represents a null value: a value which does not refer to any object. It is an error to attempt to dereference the null value — Java will throw a NullPointerException. null is often used to represent uninitialized state.
",null[edit],plain_text
702,,Mixed Mode Operations[edit],
703,"In concatenation operations, the values in brackets are concatenated first. Then the values are concatenated from the left to the right. Be careful when mixing character literals and integers in String concatenation operations:
",Mixed Mode Operations[edit],plain_text
704,"1 int one = '1';
2 int zero = '0';
3 
4 System.out.println(""120? "" + one + '2' + zero);
",Mixed Mode Operations[edit],code_fragment
705,"The unexpected results arise because '1' and '0' are converted twice. The expression is concatenated as such:
",Mixed Mode Operations[edit],plain_text
706,"The code section 66 yields the desired result:
",Mixed Mode Operations[edit],plain_text
707,"1 char one = '1';
2 char zero = '0';
3 
4 System.out.println(""120? "" + one + '2' + zero);
",Mixed Mode Operations[edit],code_fragment
708,"1 int one = '1';
2 int zero = '0';
3 
4 System.out.println(""  3? "" + (one + '2' + zero));
5 System.out.println(""102? "" + 100 + '2' + 0);
6 System.out.println(""102? "" + (100 + '2' + 0));
",Mixed Mode Operations[edit],code_fragment
709,"
",Mixed Mode Operations[edit],plain_text
710,"
Methods are how we communicate with objects. When we invoke or call a method we are asking the object to carry out a task. We can say methods implement the behaviour of objects. For each method we need to give a name, we need to define its input parameters and we need to define its return type. We also need to set its visibility (private, protected or public). If the method throws a checked exception, that needs to be declared as well. It is called a method definition. The syntax of method definition is:
",Methods,plain_text
711,"We can declare that the method does not return anything using the void Java keyword. For example:
",Methods,plain_text
712,"1 private void methodName(String parameter1, String parameter2) {
2   ...
3   return;
4 }
",Methods,code_fragment
713,"When the method returns nothing, the return keyword at the end of the method is optional. When the execution flow reaches the return keyword, the method execution is stopped and the execution flow returns to the caller method. The return keyword can be used anywhere in the method as long as there is a way to execute the instructions below:
",Methods,plain_text
714," 1 private void aMethod(int a, int b) {
 2   int c = 0;
 3   if (a > 0) {
 4     c = a;
 5     return;
 6   }
 7   int c = c + b;
 8   return;
 9   int c = c * 2;
10 }
",Methods,code_fragment
715,"In the code section 3.68, the return keyword at line 5 is well placed because the instructions below can be reached when a is negative or equal to 0. However, the return keyword at line 8 is badly placed because the instructions below can't be reached.
",Methods,plain_text
716,"1 private int myMethod(int a, int b, boolean c) {
2   b = b + 2;
3   if (a > 0) {
4     a = a + b;
5     return a;
6   } else {
7     a = 0;
8   }
9 }
",Methods,code_fragment
717,,Parameter passing[edit],
718,"We can pass any primitive data types or reference data type to a method.
",Parameter passing[edit],plain_text
719,"The primitive types are passed in by value. It means that as soon as the primitive type is passed in, there is no more link between the value inside the method and the source variable:
",Parameter passing[edit],plain_text
720,"1 private void modifyValue(int number) {
2   number += 1;
3 }
",Parameter passing[edit],code_fragment
721,"1 int i = 0;
2 modifyValue(i);
3 System.out.println(i);
",Parameter passing[edit],code_fragment
722,"As you can see in code section 3.70, the modifyValue() method has not modified the value of i.
",Parameter passing[edit],plain_text
723,"The object references are passed by value. It means that:
",Parameter passing[edit],plain_text
724,"There is no more link between the reference inside the method and the source reference,
The source object itself and the object itself inside the method are still the same.",Parameter passing[edit],plain_text
725,"You must understand the difference between the reference of an object and the object itself. A object reference is the link between a variable name and an instance of object:
",Parameter passing[edit],plain_text
726,"An object reference is a pointer, an address to the object instance.
",Parameter passing[edit],plain_text
727,"The object itself is the value of its attributes inside the object instance:
",Parameter passing[edit],plain_text
728,"Take a look at the example above:
",Parameter passing[edit],plain_text
729,"1 private void modifyObject(FirstClass anObject) {
2   anObject.setName(""Susan"");
3 }
",Parameter passing[edit],code_fragment
730,"1 FirstClass object = new FirstClass();
2 object.setName(""Christin"");
3 
4 modifyObject(object);
5 
6 System.out.println(object.getName());
",Parameter passing[edit],code_fragment
731,"The name has changed because the method has changed the object itself and not the reference. Now take a look at the other example:
",Parameter passing[edit],plain_text
732,"1 private void modifyObject(FirstClass anObject) {
2   anObject = new FirstClass();
3   anObject.setName(""Susan"");
4 }
",Parameter passing[edit],code_fragment
733,"1 FirstClass object = new FirstClass();
2 object.setName(""Christin"");
3 
4 modifyObject(object);
5 
6 System.out.println(object.getName());
",Parameter passing[edit],code_fragment
734,"The name has not changed because the method has changed the reference and not the object itself. The behavior is the same as if the method was in-lined and the parameters were assigned to new variable names:
",Parameter passing[edit],plain_text
735," 1 FirstClass object = new FirstClass();
 2 object.setName(""Christin"");
 3 
 4 // Start of the method
 5 FirstClass anObject = object;
 6 anObject = new FirstClass();
 7 anObject.setName(""Susan"");
 8 // End of the method
 9 
10 System.out.println(object.getName());
",Parameter passing[edit],code_fragment
736,,Variable argument list[edit],
737,"Java SE 5.0 added syntactic support for methods with variable argument list, which simplifies the typesafe usage of methods requiring a variable number of arguments. Less formally, these parameters are called varargs[1]. The type of a variable parameter must be followed with ..., and Java will box all the arguments into an array:
",Variable argument list[edit],plain_text
738,"1 public void drawPolygon(Point... points) {
2   //…
3 }
",Variable argument list[edit],code_fragment
739,"When calling the method, a programmer can simply separate the points by commas, without having to explicitly create an array of Point objects. Within the method, the points can be referenced as points[0], points[1], etc. If no points are passed, the array has a length of zero.
",Variable argument list[edit],plain_text
740,"A method can have both normal parameters and a variable parameter but the variable parameter must always be the last parameter. For instance, if the programmer is required to use a minimum number of parameters, those parameters can be specified before the variable argument:
",Variable argument list[edit],plain_text
741,"1 // A polygon needs at least three points.
2 public void drawPolygon(Point p1, Point p2, Point p3, Point... otherPoints) {
3   //…
4 }
",Variable argument list[edit],code_fragment
742,,Return parameter[edit],
743,"A method may return a value (which can be a primitive type or an object reference). If the method does not return a value we use the void Java keyword.
",Return parameter[edit],plain_text
744,"However, a method can return only one value so what if you want to return more than one value from a method?
You can pass in an object reference to the method, and let the method modify the object properties so the modified values can be considered as an output value from the method.
You can also create an Object array inside the method, assign the return values and return the array to the caller. However, this gives a problem if you want to mix primitive data types and object references as the output values from the method.
",Return parameter[edit],plain_text
745,"There is a better approach, define a special return object with the needed return values. Create that object inside the method, assign the values and return the reference to this object. This special object is ""bound"" to this method and used only for returning values, so do not use a public class. The best way is to use a nested class, see example below:
",Return parameter[edit],plain_text
746," 1 public class MyObject {
 2   ...
 3  
 4   /** Nested object is for return values from getPersonInfoById method */
 5   private static class ReturnObject {
 6       private int age;
 7       private String name;
 8 
 9       public void setAge(int age) {
10           this.age = age;
11       }
12  
13       public int getAge() {
14           return age;
15       }
16 
17       public void setName(String name) {
18           name = name;
19       }
20  
21       public String getName() {
22           return name;
23       }
24   } // End of nested class definition
25 
26   /** Method using the nested class to return values */
27   public ReturnObject getPersonInfoById(int id) {
28     int    age;
29     String name;
30     ...
31     // Get the name and age based on the ID from the database
32     ...
33     ReturnObject result = new ReturnObject();
34     result.setAge(age);
35     result.setName(name);
36 
37     return result;
38   }
39 }
",Return parameter[edit],code_fragment
747,"In the above example the getPersonInfoById method returns an object reference that contains both values of the name and the age. See below how you may use that object:
",Return parameter[edit],plain_text
748,"1 MyObject object = new MyObject();
2 MyObject.ReturnObject person = object.getPersonInfoById(102);
3 
4 System.out.println(""Person Name="" + person.getName());
5 System.out.println(""Person Age ="" + person.getAge());
",Return parameter[edit],code_fragment
749,"1 private int myMethod(int a, int b, String c) {
2   if (a > 0) {
3     c = """";
4     return c;
5   }
6   int b = b + 2;
7   return b;
8 }
",Return parameter[edit],code_fragment
750,,"Special method, the constructor[edit]",
751,"The constructor is a special method called automatically when an object is created with the new keyword. Constructor does not have a return value and its name is the same as the class name. Each class must have a constructor. If we do not define one, the compiler will create a default so called empty constructor automatically.
","Special method, the constructor[edit]",plain_text
752,"1 public class MyClass {
2   /**
3   * MyClass Empty Constructor
4   */
5   public MyClass() {
6   }
7 }
","Special method, the constructor[edit]",code_fragment
753,,Static methods[edit],
754,"A static method is a method that can be called without an object instance. It can be called on the class directly. For example, the valueOf(String) method of the Integer class is a static method:
",Static methods[edit],plain_text
755,"1 Integer i = Integer.valueOf(""10"");
",Static methods[edit],code_fragment
756,"The static keyword makes attributes instance-agnostic. This means that you cannot reference a static attribute of a single object (because such a specific object attribute doesn't exist). Instead, only one instance of a static attribute exists, whether there is one object in the JVM or one hundred. Here is an example of using a static attribute in a static method:
",Static methods[edit],plain_text
757,"1 private static int count = 0;
2 
3 public static int getNewInteger() {
4   return count++;
5 }
",Static methods[edit],code_fragment
758,"You can notice that when you use System.out.println(), out is a static attribute of the System class. A static attribute is related to a class, not to any object instance. This is how Java achieves one universal output stream that we can use to print output. Here is a more complex use case:
",Static methods[edit],plain_text
759," 1 public class MyProgram {
 2 
 3     public static int count = 0;
 4 
 5     public static void main (String[] args) {
 6         MyProgram.count++;
 7 
 8         MyProgram program1 = new MyProgram();
 9         program1.count++;
10 
11         MyProgram program2 = new MyProgram();
12         program2.count++;
13 
14         new MyProgram().count++;
15         System.out.println(MyProgram.count);
16     }
17 }
",Static methods[edit],code_fragment
760,"
",Static methods[edit],plain_text
761,"
String is a class built into the Java language defined in the java.lang package. It represents character strings. Strings are ubiquitous in Java. Study the String class and its methods carefully. It will serve you well to know how to manipulate them skillfully. String literals in Java programs, such as ""abc"", are implemented as instances of this class like this:
",String,plain_text
762,"1 String str = ""This is string literal"";
",String,code_fragment
763,"On the right hand side a String object is created represented by the string literal. Its object reference is assigned to the str variable.
",String,plain_text
764,,Immutability[edit],
765,"Strings are immutable; that is, they cannot be modified once created. Whenever it looks as if a String object was modified actually a new String object was created. For instance, the String.trim() method returns the string with leading and trailing whitespace removed. Actually, it creates a new trimmed string and then returns it. Pay attention on what happens in Code section 3.82:
",Immutability[edit],plain_text
766,"1 String badlyCutText = ""     Java is great.     "";
2 System.out.println(badlyCutText);
3 
4 badlyCutText.trim();
5 System.out.println(badlyCutText);
",Immutability[edit],code_fragment
767,"The trim() method call does not modify the object so nothing happens. It creates a new trimmed string and then throws it away.
",Immutability[edit],plain_text
768,"1 String badlyCutText = ""     Java is great.     "";
2 System.out.println(badlyCutText);
3 
4 badlyCutText = badlyCutText.trim();
5 System.out.println(badlyCutText);
",Immutability[edit],code_fragment
769,"The returned string is assigned to the variable. It does the job as the trim() method has created a new String instance.
",Immutability[edit],plain_text
770,,Concatenation[edit],
771,"The Java language provides special support for the string concatenation with operator +:
",Concatenation[edit],plain_text
772,"1 System.out.println(""First part"");
2 System.out.println("" second part"");
3 String str = ""First part"" + "" second part"";
4 System.out.println(str);
",Concatenation[edit],code_fragment
773,"The concatenation is not always processed at the same time. Raw string literals concatenation is done at compile time, hence there is a single string literal in the byte code of the class. Concatenation with at least one object is done at runtime.
",Concatenation[edit],plain_text
774,"+ operator can concatenate other objects with strings. For instance, integers will be converted to strings before the concatenation:
",Concatenation[edit],plain_text
775,"1 System.out.println(""Age="" + 25);
",Concatenation[edit],code_fragment
776,"Each Java object has the String toString() inherited from the Object class. This method provides a way to convert objects into Strings. Most classes override the default behavior to provide more specific (and more useful) data in the returned String:
",Concatenation[edit],plain_text
777,"1 System.out.println(""Age="" + new Integer(31));
",Concatenation[edit],code_fragment
778,,Using StringBuilder/StringBuffer to concatenate strings[edit],
779,"Remember that String objects are immutable objects. Once a String is created, it can not be modified, takes up memory until garbage collected. Be careful of writing a method like this:
",Using StringBuilder/StringBuffer to concatenate strings[edit],plain_text
780,"1 public String convertToString(Collection<String> words) {
2   String str = """";
3   // Loops through every element in words collection
4   for (String word : words) {
5     str = str + word + "" "";
6   }
7   return str;
8 }
",Using StringBuilder/StringBuffer to concatenate strings[edit],code_fragment
781,"On the + operation a new String object is created at each iteration. Suppose words contains the elements [""Foo"", ""Bar"", ""Bam"", ""Baz""]. At runtime, the method creates thirteen Strings:
",Using StringBuilder/StringBuffer to concatenate strings[edit],plain_text
782,"Even though only the last one is actually useful.
",Using StringBuilder/StringBuffer to concatenate strings[edit],plain_text
783,"To avoid unnecessary memory use like this, use the StringBuilder class. It provides similar functionality to Strings, but stores its data in a mutable way. Only one StringBuilder object is created. Also because object creation is time consuming, using StringBuilder produces much faster code.
",Using StringBuilder/StringBuffer to concatenate strings[edit],plain_text
784,"1 public String convertToString(Collection<String> words) {
2   StringBuilder buf = new StringBuilder();
3   // Loops through every element in words collection
4   for (String word : words) {
5     buf.append(word);
6     buf.append("" "");
7   }
8   return buf.toString();
9 }
",Using StringBuilder/StringBuffer to concatenate strings[edit],code_fragment
785,"As StringBuilder isn't thread safe (see the chapter on Concurrency) you can't use it in more than one thread. For a multi-thread environment, use StringBuffer instead which does the same and is thread safe. However, StringBuffer is slower so only use it when it is required. Moreover, before Java 5 only StringBuffer existed.
",Using StringBuilder/StringBuffer to concatenate strings[edit],plain_text
786,,Comparing Strings[edit],
787,"Comparing strings is not as easy as it may first seem. Be aware of what you are doing when comparing String's using ==:
",Comparing Strings[edit],plain_text
788,"1 String greeting = ""Hello World!"";
2 if (greeting == ""Hello World!"") {
3     System.out.println(""Match found."");
4 }
",Comparing Strings[edit],code_fragment
789,"The difference between the above and below code is that the above code checks
to see if the String's are the same objects in memory which they are. This is as a result of the fact that
String's are stored in a place in memory called the String Constant Pool. If the new keyword is not explicitly used when 
creating the String it checks to see if it already exists in the Pool and uses the existing one. If it does not exist, a new Object is created. This is what allows Strings to be immutable in Java.
To test for equality, use the equals(Object) method inherited by every class and defined by String to return true if and only if the object passed in is a String contains the exact same data:
",Comparing Strings[edit],plain_text
790,"1 String greeting = ""Hello World!"";
2 if (greeting.equals(""Hello World!"")) {
3     System.out.println(""Match found."");
4 }
",Comparing Strings[edit],code_fragment
791,"Remember that the comparison is case sensitive.
",Comparing Strings[edit],plain_text
792,"1 String greeting = ""Hello World!"";
2 if (greeting.equals(""hello world!"")) {
3     System.out.println(""Match found."");
4 }
",Comparing Strings[edit],code_fragment
793,"To order String objects, use the compareTo() method, which can be accessed wherever we use a String datatype. The compareTo() method returns a negative, zero, or positive number if the parameter is less than, equal to, or greater than the object on which it is called. Let's take a look at an example:
",Comparing Strings[edit],plain_text
794,"1 String person1 = ""Peter"";
2 String person2 = ""John"";
3 if (person1.compareTo(person2) > 0) {
4     // Badly ordered
5     String temp = person1;
6     person1 = person2;
7     person2 = temp;
8 }
",Comparing Strings[edit],code_fragment
795,"The code section 3.92 is comparing the String variable person1 to person2. If person1 is different even in the slightest manner, we will get a value above or below 0 depending on the exact difference. The result is negative if this String object lexicographically precedes the argument string. The result is positive if this String object lexicographically follows the argument string. Take a look at the Java API for more details.
",Comparing Strings[edit],plain_text
796,,Splitting a String[edit],
797,"Sometimes it is useful to split a string into separate strings, based on a regular expressions. The String class has a split() method, since Java 1.4, that will return a String array:
",Splitting a String[edit],plain_text
798,"1 String person = ""Brown, John:100 Yonge Street, Toronto:(416)777-9999"";
2 ...
3 String[] personData = person.split("":"");
4 ...
5 String name    = personData[0];
6 String address = personData[1];
7 String phone   = personData[2];
",Splitting a String[edit],code_fragment
799,"Another useful application could be to split the String text based on the new line character, so you could process the text line by line.
",Splitting a String[edit],plain_text
800,,Substrings[edit],
801,"It may also be sometimes useful to create substrings, or strings using the order of letters from an existing string.  This can be done in two methods.
",Substrings[edit],plain_text
802,"The first method involves creating a substring out of the characters of a string from a given index to the end:
",Substrings[edit],plain_text
803,"1 String str = ""coffee"";
2 System.out.println(str.substring(3));
",Substrings[edit],code_fragment
804,"The index of the first character in a string is 0.
",Substrings[edit],plain_text
805,"By counting from there, it is apparent that the character in index 3 is the second ""f"" in ""coffee"". This is known as the beginIndex. All characters from the beginIndex until the end of the string will be copied into the new substring.
",Substrings[edit],plain_text
806,"The second method involves a user-defined beginIndex and endIndex:
",Substrings[edit],plain_text
807,"1 String str = ""supporting"";
2 System.out.println(str.substring(3, 7));
",Substrings[edit],code_fragment
808,"The string returned by substring() would be ""port"".
",Substrings[edit],plain_text
809,"Please note that the endIndex is not inclusive. This means that the last character will be of the index endIndex-1. Therefore, in this example, every character from index 3 to index 6, inclusive, was copied into the substring.
",Substrings[edit],plain_text
810,,String cases[edit],
811,"The String class also allows for the modification of cases. The two methods that make this possible are toLowerCase() and toUpperCase().
",String cases[edit],plain_text
812,"1 String str = ""wIkIbOoKs"";
2 System.out.println(str.toLowerCase());
3 System.out.println(str.toUpperCase());
",String cases[edit],code_fragment
813,"These methods are useful to do a search which is not case sensitive:
",String cases[edit],plain_text
814," 1 String word = ""Integer"";
 2 String text = ""A number without a decimal part is an integer.""
 3   + "" Integers are a list of digits."";
 4 
 5 ...
 6 
 7 // Remove the case
 8 String lowerCaseWord = word.toLowerCase();
 9 String lowerCaseText = text.toLowerCase();
10 
11 // Search
12 int index = lowerCaseText.indexOf(lowerCaseWord);
13 while (index != -1) {
14   System.out.println(word
15     + "" appears at column ""
16     + (index + 1)
17     + ""."");
18   index = lowerCaseText.indexOf(lowerCaseWord, index + 1);
19 }
",String cases[edit],code_fragment
815," 1 public static String getDisplayName(String mail) {
 2   String displayName = null;
 3  
 4   if (mail != null) {
 5     String[] mailParts = mail.split(""@"");
 6     String namePart = mailParts[0];
 7     String[] namesParts = namePart.split(""\\."");
 8    
 9     // The last name
10     String lastName = namesParts[1];
11     lastName = lastName.toUpperCase();
12    
13     // The first name
14     String firstName = namesParts[0];
15    
16     String firstNameInitial = firstName.substring(0, 1);
17     firstNameInitial = firstNameInitial.toUpperCase();
18    
19     String firstNameEnd = firstName.substring(1);
20     firstNameEnd = firstNameEnd.toLowerCase();
21    
22     // Concatenation
23     StringBuilder displayNameBuilder = new StringBuilder(lastName).append("" "").append(firstNameInitial).append(firstNameEnd);
24     displayName = displayNameBuilder.toString();
25   }
26  
27   return displayName;
28 }
",String cases[edit],code_fragment
816,,See also[edit],
817," Java API: java.lang.String
 Java API: java.lang.StringBuffer
 Java API: java.lang.StringBuilder",See also[edit],plain_text
818,"
An object is composed of fields and methods. The fields, also called data members, characteristics, attributes, or properties, describe the state of the object. The methods generally describe the actions associated with a particular object. Think of an object as a noun, its fields as adjectives describing that noun, and its methods as the verbs that can be performed by or on that noun.
",Objects,plain_text
819,"For example, a sports car is an object. Some of its fields might be its height, weight, acceleration, and speed. An object's fields just hold data about that object. Some of the methods of the sports car could be ""drive"", ""park"", ""race"", etc. The methods really don't mean much unless associated with the sports car, and the same goes for the fields.
",Objects,plain_text
820,"The blueprint that lets us build our sports car object is called a class. A class doesn't tell us how fast our sports car goes, or what color it is, but it does tell us that our sports car will have a field representing speed and color, and that they will be say, a number and a word (or hex color code), respectively. The class also lays out the methods for us, telling the car how to park and drive, but these methods can't take any action with just the blueprint — they need an object to have an effect.
",Objects,plain_text
821,"In Java, a class is located in a file similar to its own name.  If you want to have a class called SportsCar, its source file needs to be SportsCar.java.  The class is created by placing the following in the source file:
",Objects,plain_text
822,"1 public class SportsCar {
2    /* Insert your code here */
3 }
",Objects,code_fragment
823,"The class doesn't do anything yet, as you will need to add methods and field variables first.
",Objects,plain_text
824,"The objects are different from the primitive types because:
",Objects,plain_text
825,,Instantiation and constructors[edit],
826,"In order to get from class to object, we ""build"" our object by instantiation. Instantiation simply means to create an instance of a class. Instance and object are very similar terms and are sometimes interchangeable, but remember that an instance refers to a specific object, which was created from a class.
",Instantiation and constructors[edit],plain_text
827,"This instantiation is brought about by one of the class's methods, called a constructor. As its name implies, a constructor builds the object based on the blueprint. Behind the scenes, this means that computer memory is being allocated for the instance, and values are being assigned to the data members.
",Instantiation and constructors[edit],plain_text
828,"In general there are four constructor types: default, non-default, copy, and cloning.
",Instantiation and constructors[edit],plain_text
829,"A default constructor will build the most basic instance. Generally, this means assigning all the fields values like null, zero, or an empty string. Nothing would stop you, however, from setting the color of your default sports car color to red, but this is generally bad programming style. Another programmer would be confused if your basic car came out red instead of say, colorless.
",Instantiation and constructors[edit],plain_text
830,"1 SportsCar car = new SportsCar();
",Instantiation and constructors[edit],code_fragment
